date,payee,amount,account_name,notes
2025-10-01,Starbucks Coffee,-5.50,Chase Checking,Morning coffee
2025-10-01,Whole Foods Market,-85.32,Chase Checking,Weekly groceries
2025-10-02,Salary Deposit,3500.00,Chase Checking,Bi-weekly paycheck
2025-10-03,Shell Gas Station,-45.00,Chase Credit Card,Gas fill-up
2025-10-03,Netflix Subscription,-15.99,Chase Credit Card,Monthly subscription
2025-10-04,Amazon.com,-127.85,Chase Credit Card,Office supplies
2025-10-05,Uber Ride,-18.50,Chase Checking,Ride to airport
2025-10-06,Chipotle Mexican Grill,-12.75,Chase Credit Card,Lunch
2025-10-07,CVS Pharmacy,-23.45,Chase Checking,Medicine and toiletries
2025-10-08,Trader Joe's,-56.20,Chase Checking,Groceries
2025-10-09,AT&T Wireless,-65.00,Chase Checking,Monthly phone bill
2025-10-10,Planet Fitness,-29.99,Chase Credit Card,Monthly gym membership
2025-10-11,Target,-143.67,Chase Credit Card,Household items
2025-10-12,Venmo Transfer to John,-50.00,Chase Checking,Dinner split
2025-10-13,Spotify Premium,-10.99,Chase Credit Card,Monthly subscription
2025-10-14,Safeway,-42.18,Chase Checking,Groceries
2025-10-15,Salary Deposit,3500.00,Chase Checking,Bi-weekly paycheck
2025-10-16,Chevron,-38.75,Chase Credit Card,Gas
2025-10-17,Movie Theater,-32.00,Chase Credit Card,Weekend entertainment
2025-10-18,Starbucks Coffee,-6.25,Chase Checking,Coffee and pastry
2025-10-19,Amazon Prime,-14.99,Chase Credit Card,Monthly subscription
2025-10-20,Comcast Internet,-89.99,Chase Checking,Monthly internet bill
2025-10-21,Uber Eats,-28.45,Chase Credit Card,Dinner delivery
2025-10-22,Costco Wholesale,-215.78,Chase Credit Card,Bulk shopping
2025-10-23,Doctor Visit Copay,-35.00,Chase Checking,Routine checkup
2025-10-24,Electric Company,-125.50,Chase Checking,Monthly electric bill
2025-10-25,McDonald's,-8.99,Chase Credit Card,Quick lunch
2025-10-26,Best Buy,-349.99,Chase Credit Card,New headphones
2025-10-27,Walgreens,-18.76,Chase Checking,Personal care items
2025-10-28,Parking Meter,-12.00,Chase Checking,Downtown parking
2025-10-29,Salary Deposit,3500.00,Chase Checking,Bi-weekly paycheck
2025-10-30,Water Utility,-45.00,Chase Checking,Monthly water bill
